"date","yearBorn","yearDead","Name","description"
"1906-8-1","1906","1981","William Keith Chambers Guthrie","filólogo clásico escocés "
"1907-8-1","1907","1932","Angelo Sbardellotto","anarquista italiano "
"1908-8-1","1908","1979","Miloslav Kabeláč","compositor checo "
"1910-8-1","1910","1937","Gerda Taro","fotógrafa alemana "
"1912-8-1","1912","1999","Henry Jones","actor estadounidense "
"1913-8-1","1913","1997","Enrique Spangenberg","político, profesor universitario y nadador argentino "
"1914-8-1","1914","2002","J. Lee Thompson","cineasta británico "
"1916-8-1","1916","2014","Fiorenzo Angelini","cardenal italiano "
"1916-8-1","1916","2000","Anne Hébert","poetisa canadiense "
"1918-8-1","1918","2003","Mario López","poeta y pintor español "
"1921-8-1","1921","2009","Jack Kramer","tenista estadounidense "
"1921-8-1","1921","1982","Ada Wójcik","actriz soviética "
"1924-8-1","1924","2015","Abdalá bin Abdulaziz","aristócrata saudí, rey de Arabia Saudita entre 2006 y 2015 "
"1924-8-1","1924","2010","Georges Charpak","físico francés de origen polaco "
"1925-8-1","1925","2018","Alicia Berdaxágar","actriz argentina "
"1926-8-1","1926","1996","Leopoldo Sucre Figarella","político venezolano "
"1928-8 - 1","1928","-1","César Leante","escritor cubano nacionalizado español."
"1929-8-1","1929","2002","Íñigo Cavero","político y aristócrata español "
"1929-8 - 1","1929","-1","Betty Ruth","primera actriz Colombo-venezolana."
"1930-8-1","1930","2002","Pierre Bourdieu","sociólogo francés "
"1930-8-1","1930","2011","Lawrence Eagleburger","político y diplomático estadounidense "
"1933-8-1","1933","2009","Dom DeLuise","actor estadounidense "
"1933-8-1","1933","1972","Meena Kumari","actriz india "
"1933-8 - 1","1933","-1","Toni Negri","filósofo italiano."
"1936-8-1","1936","2000","William Donald Hamilton","biólogo evolutivo británico "
"1936-8-1","1936","2008","Yves Saint Laurent","diseñador de moda y empresario francés "
"1936-8-1","1936","2022","Carlos de Wurtemberg","empresario y noble alemán "
"1938-8-1","1938","2019","Jacques Diouf","político senegalés, director general de la FAO "
"1938-8-1","1938","2021","Paddy Moloney","músico folk irlandés "
"1940-8 - 1","1940","-1","Totó la Momposina","es una cantante de música folclórica de la Costa Caribe de Colombia."
"1941-8 - 1","1941","-1","Jordi Savall","violagambista, director de orquesta y musicólogo español, especializado en música antigua."
"1941-8 - 1","1941","-1","Katsunosuke Hori","seiyū japonés."
"1942-8-1","1942","1995","Jerry Garcia","músico estadounidense, de la banda Grateful Dead "
"1942-8 - 1","1942","-1","Ernesto Fonseca Carrillo","narcotraficante mexicano."
"1942-8 - 1","1942","-1","Giancarlo Giannini","actor italiano."
"1943-8-1","1943","2005","Carlos Roffé","actor argentino "
"1945-8 - 1","1945","-1","Douglas Dean Osheroff","físico estadounidense, premio Nobel de Física en 1996."
"1948-8 - 1","1948","-1","Carmen Lomana","mujer de negocios y coleccionista de alta costura española."
"1948-8 - 1","1948","-1","Jorge Maronna","músico y humorista argentino, fundador de la banda Les Luthiers."
"1949-8 - 1","1949","-1","Kurmanbek Bakíev","político y presidente kirguistano."
"1949-8 - 1","1949","-1","Santiago Ramos","actor español."
"1950-8 - 1","1950","-1","Loles León","actriz española."
"1950-8-1","1950","TV20182","Teófilo Eduardo Veras López (Teo Veras)","locutor y empresario radiofónico dominicano "
"1951-8 - 1","1951","-1","Tommy Bolin","guitarrista estadounidense, de la banda Deep Purple."
"1952-8 - 1","1952","-1","Juan Ribó","actor español."
"1952-8 - 1","1952","-1","Zoran Đinđić","político serbio."
"1952-8 - 1","1952","-1","Takayuki Sugō","seiyū japonés."
"1953-8 - 1","1953","-1","Óscar Cantón Zetina","político mexicano."
"1953-8 - 1","1953","-1","Robert Cray","músico estadounidense."
"1956-8 - 1","1956","-1","Tom Leykis","presentador de radio estadounidense."
"1958-8 - 1","1958","-1","Rob Buck","músico estadounidense, de la banda 10,000 Maniacs."
"1959-8 - 1","1959","-1","Joe Elliott","músico británico, de la banda Def Leppard."
"1959-8 - 1","1959","-1","José Manuel Hurtado","futbolista español."
"1960-8 - 1","1960","-1","Chuck D","rapero, compositor, actor y productor musical estadounidense."
"1960-8 - 1","1960","-1","Cristina del Valle","cantante española."
"1961-8 - 1","1961","-1","Alberto Comesaña","cantante español."
"1962-8 - 1","1962","-1","María Belén Aramburu","periodista y conductora de televisión argentina."
"1963-8 - 1","1963","-1","Demián Bichir","actor mexicano."
"1963-8-1","1963","2022","Coolio","rapero estadounidense "
"1963-8-1","1963","2003","María Gabriela Epumer","guitarrista, cantante y compositora argentina "
"1963-8 - 1","1963","-1","John Carroll Lynch","actor estadounidense."
"1964-8 - 1","1964","-1","Adam Duritz","músico estadounidense, de la banda Counting Crows."
"1964-8-1","1964","2006","Carlos ""Café"" Martínez","beisbolista venezolano "
"1964-8 - 1","1964","-1","Kaspar Capparoni","actor italiano."
"1965-8 - 1","1965","-1","Sam Mendes","cineasta británico."
"1966-8 - 1","1966","-1","Horacio de la Peña","tenista argentino."
"1967-8 - 1","1967","-1","Daniel La Tota Santillán","conductor de televisión argentino."
"1968-8 - 1","1968","-1","Stacey Augmon","baloncestista estadounidense."
"1968-8 - 1","1968","-1","Dan Donegan","músico estadounidense, de la banda Disturbed."
"1969-8 - 1","1969","-1","Ana Celentano","actriz argentina."
"1969-8 - 1","1969","-1","Teresa Hales","actriz chilena."
"1970-8 - 1","1970","-1","Luis Callejo","actor español."
"1970-8 - 1","1970","-1","David James","futbolista británico."
"1970-8 - 1","1970","-1","Maxi Trusso","cantante argentino."
"1973-8 - 1","1973","-1","Tempestt Bledsoe","actriz estadounidense."
"1973-8 - 1","1973","-1","Eduardo Noriega","actor español."
"1973-8 - 1","1973","-1","Edurne Pasaban","montañera española."
"1973-8 - 1","1973","-1","Gregg Berhalter","futbolista estadounidense."
"1973-8 - 1","1973","-1","Antonio Gómez Pérez","futbolista y entrenador español."
"1974-8 - 1","1974","-1","Dennis Lawrence","futbolista trinitense."
"1976-8 - 1","1976","-1","Iván Duque","abogado y político colombiano, presidente de Colombia entre 2018 y 2022."
"1976-8 - 1","1976","-1","Nwankwo Kanu","futbolista nigeriano."
"1976-8 - 1","1976","-1","Sultan Saeed","atleta maldivo."
"1976-8 - 1","1976","-1","Jorge Rodrigo Barrios","boxeador argentino."
"1977-8 - 1","1977","-1","Damien Saez","músico francés."
"1977-8 - 1","1977","-1","Gorka de Carlos","futbolista español."
"1978-8 - 1","1978","-1","Juliana Gattas","cantante argentina."
"1978-8 - 1","1978","-1","Dhani Harrison","músico británico."
"1978-8 - 1","1978","-1","Begoña Maestre","actriz española."
"1978-8 - 1","1978","-1","Zac Brown","cantante y guitarrista estadounidense, de la banda Zac Brown Band."
"1979-8 - 1","1979","-1","Roberto Hoyas","actor español."
"1979-8-1","1979","2019","Junior Agogo","futbolista ghanés "
"1979-8 - 1","1979","-1","Jason Momoa","actor estadounidense."
"1979-8 - 1","1979","-1","Aliaksandr Sulima","futbolista bielorruso."
"1980-8 - 1","1980","-1","Alessandro Mancini","futbolista brasileño."
"1980-8 - 1","1980","-1","Esteban Paredes","futbolista chileno."
"1980-8 - 1","1980","-1","Isabel Marcos Naranjo","locutora española."
"1980-8 - 1","1980","-1","Gustavo Sever","futbolista argentino."
"1981-8 - 1","1981","-1","Stuart Kelly","futbolista escocés."
"1981-8 - 1","1981","-1","Christofer Heimeroth","futbolista alemán."
"1981-8 - 1","1981","-1","Stephen Hunt","futbolista irlandés."
"1983-8 - 1","1983","-1","Julien Faubert","futbolista francés."
"1983-8 - 1","1983","-1","Natalia Siwiec","modelo polaca."
"1984-8 - 1","1984","-1","Bastian Schweinsteiger","futbolista alemán."
"1985-8 - 1","1985","-1","Adam Jones","beisbolista estadounidense."
"1985-8 - 1","1985","-1","Dušan Švento","futbolista eslovaco."
"1985-8 - 1","1985","-1","Elton Rodrigues Brandão","futbolista brasileño."
"1986-8 - 1","1986","-1","Yelena Vesniná","tenista rusa."
"1986-8 - 1","1986","-1","Elijah Kelley","actor, cantante y bailarín estadounidense."
"1987-8 - 1","1987","-1","Iago Aspas","futbolista español."
"1987-8 - 1","1987","-1","Rumi Hiiragi","seiyū japonesa."
"1988-8 - 1","1988","-1","Nemanja Matić","futbolista serbio."
"1989-8 - 1","1989","-1","Tiffany Young","cantante coreana-estadounidense, integrante del grupo Girls' Generation."
"1989-8 - 1","1989","-1","Salman Al-Faraj","futbolista saudí."
"1990-8 - 1","1990","-1","Alakina Mann","actriz británica."
"1990-8 - 1","1990","-1","Jack O'Connell","actor británico."
"1990-8 - 1","1990","-1","Kennys Vargas","beisbolista puertorriqueño."
"1991-8 - 1","1991","-1","Verónica Rodríguez","actriz pornográfica y modelo erótica venezolana."
"1992-8 - 1","1992","-1","Jean Luc Gbayara Assoubre","futbolista marfileño."
